,wc
1109,6.7611084
1110,8.136749
1111,14.875824
1112,12.838837
1113,10.225708
1114,14.609131
1115,10.729706
1116,19.8544
1117,21.024536
1118,23.260284
1119,15.594482
1120,12.747955
1121,15.69278
1122,14.805206
1123,14.609802
1124,16.341492
1125,19.452423
1126,16.607758
1127,13.513672
1128,10.837341
1129,11.301605
1130,22.923218
1131,13.563721
1132,11.171967
1133,9.794617
1134,16.990662
1135,26.368134
1136,16.401855
1137,15.5867
1138,3.941925
1139,12.312042
1140,20.22754
1141,6.272705
1142,8.1059265
1143,11.412903
1144,12.811615
1145,7.1855164
1146,16.027191
1147,10.741669
1148,12.30246
1149,11.130615
1150,13.693726
1151,9.616821
1152,6.991089
1153,8.259369
1154,14.049225
1155,13.6154785
1156,5.8243103
1157,11.275635
1158,7.8437805
1159,12.438385
1160,6.6186523
1161,10.111053
1162,17.068604
1163,5.581543
1164,11.256409
1165,16.253479
1166,6.0246277
1167,8.760986
1168,8.143616
1169,5.5578003
1170,9.378052
1171,7.292206
1172,12.860504
1173,7.290985
1174,11.2344055
1175,11.537964
1176,10.218323
1177,9.804932
1178,6.982147
1179,12.696472
1180,14.340851
1181,16.01587
1182,14.417145
1183,10.213379
1184,8.72937
1185,11.911133
1186,15.882721
1187,7.4776
1188,9.593567
1189,6.248871
1190,12.280121
1191,8.678436
1192,13.4626465
1193,8.604187
1194,10.528107
1195,14.126923
1196,8.238312
1197,12.788147
1198,3.5162354
1199,8.389496
1200,10.5824585
1201,5.5475464
1202,6.7869873
1203,2.6070862
1204,12.823975
1205,11.951599
1206,6.6788025
1207,14.2211
1208,5.127411
1209,10.009735
1210,10.444092
1211,7.5837708
1212,5.461914
1213,8.028931
1214,6.9102783
1215,6.7622375
1216,10.330505
1217,9.232697
1218,4.226288
1219,7.9531555
1220,6.829315
1221,7.522461
1222,7.361023
1223,4.001343
1224,9.179352
1225,25.915466
1226,7.852997
1227,6.379059
1228,9.031647
1229,3.930359
1230,4.2353516
1231,8.175873
1232,12.252258
1233,4.484619
1234,8.745087
1235,9.624451
1236,14.627441
1237,9.16571
1238,8.325287
1239,17.225647
1240,7.4099426
1241,13.521576
1242,5.912079
1243,9.661774
1244,2.5255432
1245,9.812866
1246,19.566406
1247,7.1788635
1248,9.605896
1249,6.33197
1250,5.1208496
1251,8.736511
1252,10.191437
1253,9.93158
1254,13.67572
1255,4.832367
1256,3.6297607
1257,9.370178
1258,9.300903
1259,2.5824585
1260,5.70755
1261,5.8380737
1262,5.512268
1263,4.9833984
1264,7.639374
1265,12.465179
1266,8.959259
1267,8.789398
1268,3.6203613
1269,4.7150574
1270,7.968628
1271,7.439392
1272,7.6971436
1273,3.4546814
1274,4.8159485
1275,8.174835
1276,6.087494
1277,5.478546
1278,4.559021
1279,8.233978
1280,6.2670593
1281,5.491638
1282,2.7893982
1283,12.706116
1284,3.553894
1285,6.6397705
1286,13.505157
1287,5.2599487
1288,5.962219
1289,4.65921
1290,4.5773926
1291,5.653473
1292,3.1351624
1293,6.422638
1294,8.771637
1295,8.630676
1296,12.182892
1297,6.257263
1298,4.192047
1299,8.595276
1300,10.729645
1301,12.398254
1302,3.942047
1303,2.2444763
1304,10.637207
1305,6.9440613
1306,11.363617
1307,5.137329
1308,5.591217
1309,5.120117
1310,7.280365
1311,6.709076
1312,6.5637817
1313,9.207611
1314,8.335999
1315,13.57135
1316,3.0133057
1317,8.291626
1318,2.2044983
1319,2.6147156
1320,4.2199097
1321,5.0472717
1322,5.139374
1323,1.0266113
1324,9.969574
1325,5.9085693
1326,8.7534485
1327,3.2153015
1328,5.437958
1329,4.5851746
1330,9.068909
1331,3.1372375
1332,5.763153
1333,5.002289
1334,3.861267
1335,3.3906555
1336,5.0476074
1337,6.1613464
1338,4.272827
1339,7.3044434
1340,5.409149
1341,3.9780884
1342,3.5675964
1343,4.7048645
1344,8.869354
1345,13.5199585
1346,7.1479797
1347,7.1289062
1348,4.487671
1349,1.676117
1350,3.5131226
1351,3.5518188
1352,2.7095947
1353,6.272705
1354,5.996582
1355,6.522888
1356,7.577484
1357,8.766663
1358,5.356476
1359,4.6844788
1360,6.110382
1361,7.1262207
1362,6.7969666
1363,3.6377258
1364,5.516083
1365,4.0282593
1366,8.652496
1367,6.4938354
1368,5.4194336
1369,4.1463013
1370,5.1176453
1371,6.9602356
1372,5.1876526
1373,3.6275635
1374,3.8034363
1375,6.872772
1376,6.1359253
1377,4.1700745
1378,1.1908875
1379,4.3293457
1380,2.771515
1381,2.2089233
1382,2.1040955
1383,3.11026
1384,6.1708374
1385,7.278778
1386,3.4189148
1387,6.99942
1388,6.087555
1389,3.8363342
1390,5.9117126
1391,2.009369
1392,4.358429
1393,4.446289
1394,2.884674
1395,3.5390625
1396,5.28537
1397,4.669861
1398,3.0835266
1399,2.7496033
1400,4.845398
1401,3.4957886
1402,4.21756
1403,5.511322
1404,3.2046814
1405,6.1647644
1406,10.133453
1407,4.5863037
1408,3.0430298
1409,2.9407349
1410,2.7462158
1411,2.4435425
1412,3.4717407
1413,4.4176636
1414,6.582123
1415,4.3113403
1416,2.4544983
1417,6.7301025
1418,5.0558777
1419,4.038269
1420,7.7101135
1421,5.0510864
1422,3.868744
1423,4.496155
1424,1.6022339
1425,6.0370483
1426,7.9145203
1427,2.9336853
1428,4.709961
1429,4.1168213
1430,6.9536133
1431,2.9363708
1432,4.8990784
1433,6.0197754
1434,5.1766663
1435,6.2529907
1436,2.263153
1437,3.718567
1438,1.5916748
1439,2.4994202
1440,2.8601074
1441,2.6513062
1442,4.3141174
1443,3.0769653
1444,3.0063477
1445,5.9331665
1446,3.6773682
1447,3.816864
1448,2.9866943
1449,5.0304565
1450,4.2887573
1451,2.4357605
1452,4.2029724
1453,3.4924622
1454,3.1946106
1455,3.9275818
1456,6.088257
1457,2.4530334
1458,2.3139343
1459,2.8649902
1460,4.233246
1461,3.1007996
1462,3.740387
1463,6.7737427
1464,3.0397034
1465,4.701477
1466,9.223846
1467,1.774231
1468,2.496399
1469,2.5195618
1470,1.789856
1471,2.6290894
1472,3.0082092
1473,5.0258484
1474,4.008972
1475,3.2420044
1476,3.3339844
1477,5.083374
1478,6.320923
1479,2.768982
1480,6.511841
1481,3.84375
1482,3.0967407
1483,2.3357544
1484,3.373169
1485,7.081024
1486,2.9731445
1487,4.4376526
1488,2.7456665
1489,4.23526
1490,5.1262207
1491,2.901947
1492,0.8415222
1493,6.616089
1494,4.3293457
1495,3.9562073
1496,2.6496582
1497,3.1262512
1498,2.1375427
1499,1.9740295
1500,2.4031067
1501,2.3547668
1502,2.4442139
1503,3.7503052
1504,2.8085938
1505,2.0219116
1506,6.5459595
1507,3.938324
1508,2.5817566
1509,3.3347473
1510,2.1710205
1511,1.6795349
1512,4.0629883
1513,2.5584412
1514,1.8877563
1515,5.396576
1516,2.752533
1517,2.8734741
1518,2.0806885
1519,2.609192
1520,3.0186157
1521,2.4540405
1522,3.977539
1523,4.7510986
1524,1.4249878
1525,2.5303345
1526,10.099213
1527,2.6870728
1528,1.7998962
1529,2.0749817
1530,1.6033936
1531,3.020752
1532,2.4223022
1533,3.0306396
